Value1,Value2,Value3,Value4,Value5,Value6,attackerType
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
2194.8,2116.22,0,0,0,2.61,3
2179.2,2098.57,0,0,0,2.81,0
784,17075,0,0,0,2.61,2
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
667,19971,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
2194.8,2116.22,0,0,0,2.61,3
2179.2,2098.57,0,0,0,2.81,0
2160.32,2095.93,0,0,0,2.61,3
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
472,11687,0,0,0,2.61,2
2157.56,2086.07,0,0,0,2.61,0
2181.87,2108.61,0,0,0,2.61,3
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2179.2,2098.57,0,0,0,2.81,0
2391.32,2528.93,0,0,0,2.61,4
2144.63,2078.46,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2173.25,2103.54,0,0,0,2.61,3
2157.56,2086.07,0,0,0,2.61,0
266,16281,0,0,0,2.61,2
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
0,0,0,0,0,2.61,1
2179.2,2098.57,0,0,0,2.81,0
0,0,-1.83,-1.25,2.22,2.54,1
2144.27,2078.25,-0.91,-0.53,1.05,2.61,0
0,0,-0.25,-0.15,0.29,2.61,1
2295.24,2501.53,-0.04,-0.02,0.05,2.61,4
2157.56,2086.07,0,0,0.01,2.61,0
2565.87,2441.61,0,0,0,2.61,4
2166.18,2091.15,0,0,0,2.61,0
2170.49,2093.68,0,0,0,2.61,0
2194.8,2116.22,0,0,0,2.61,3
2179.2,2098.57,0,0,0,2.81,0
2288.74,2481.87,-3.23,-2.96,4.38,2.4,4
2142.48,2077.2,-2.57,-1.52,2.99,2.61,0
2168.01,2100.45,-1.44,-0.85,1.67,2.61,3
0,0,-0.65,-0.38,0.75,2.61,1
2157.49,2086.03,-0.2,-0.12,0.24,2.61,0
2337.86,2289.6,-0.04,-0.03,0.05,2.61,4
2166.18,2091.15,-0.01,0,0.01,2.61,0
2170.49,2093.68,0,0,0,2.61,0
952,17128,0,0,0,2.61,2
2179.2,2098.57,0,0,0,2.81,0
2153.04,2088.92,-4.29,-4.58,6.27,2.32,3
2139.14,2075,-3.94,-2.76,4.81,2.53,0
2165.69,2099.08,-2.93,-1.73,3.4,2.61,3
2412.6,2215.56,-1.93,-1.14,2.24,2.61,4
2156.86,2085.66,-1.05,-0.62,1.22,2.61,0
382,11315,-0.45,-0.27,0.53,2.61,2
2166.12,2091.11,-0.14,-0.08,0.16,2.61,0
2170.48,2093.68,-0.04,-0.02,0.04,2.61,0
2579.8,2222.22,-0.01,0,0.01,2.61,4
2179.2,2098.57,0,0,0,2.81,0
0,0,-5.6,-5.97,8.18,2.32,1
2134.91,2070.91,-4.66,-4.98,6.82,2.32,0
2376.78,2256.78,-4.67,-2.75,5.42,2.61,4
0,0,-3.51,-2.07,4.08,2.61,1
2155.07,2084.61,-2.42,-1.43,2.81,2.61,0
2180.66,2107.9,-1.52,-0.9,1.77,2.61,3
2165.69,2090.86,-0.78,-0.46,0.91,2.61,0
2170.33,2093.59,-0.31,-0.18,0.36,2.61,0
0,0,-0.09,-0.06,0.11,2.61,1
2179.19,2098.56,-0.03,-0.01,0.03,2.81,0
1221,14385,-7,-7.47,10.24,2.32,2
2127.15,2067.45,-6,-6.4,8.77,2.32,0
2156.74,2092.86,-5.28,-4.85,7.17,2.4,3
2496.48,2175.37,-5,-2.94,5.8,2.61,4
2151.87,2082.72,-3.89,-2.29,4.51,2.61,0
0,0,-2.83,-1.67,3.28,2.61,1
2164.37,2090.08,-1.8,-1.06,2.08,2.61,0
2169.65,2093.19,-1.07,-0.63,1.25,2.61,0
587,18353,-0.49,-0.29,0.57,2.61,2
2179.08,2098.53,-0.21,-0.07,0.23,2.81,0
2133.91,2068.49,-8.46,-9.03,12.37,2.32,3
2120.44,2060.29,-7.25,-7.73,10.6,2.32,0
2401.18,2130.93,-6.21,-6.63,9.08,2.32,4
0,0,-6.16,-4.58,7.68,2.5,1
2147.15,2079.94,-5.31,-3.13,6.16,2.61,0
0,0,-4.25,-2.5,4.94,2.61,1
2161.78,2088.56,-3.23,-1.9,3.75,2.61,0
2167.97,2092.2,-2.24,-1.32,2.6,2.61,0
2193.52,2115.47,-1.34,-0.79,1.56,2.61,3
2178.57,2098.36,-0.82,-0.28,0.87,2.81,0
0,0,-9.55,-10.19,13.96,2.32,1
2112.37,2051.68,-8.64,-9.22,12.63,2.32,0
2240.19,2216.46,-7.67,-8.19,11.23,2.32,4
2152.68,2088.53,-6.51,-6.95,9.52,2.32,3
2141.4,2076.56,-6.21,-3.65,7.2,2.61,0
0,0,-5.16,-3.04,5.98,2.61,1
2157.94,2086.29,-4.18,-2.46,4.85,2.61,0
2165.05,2090.48,-3.32,-1.95,3.85,2.61,0
764,14834,-2.42,-1.43,2.81,2.61,2
2177.3,2097.69,-1.75,-0.77,1.91,2.73,0
0,0,-9.51,-10.15,13.91,2.32,1
2103.15,2041.83,-9.51,-10.15,13.91,2.32,0
0,0,-8.94,-9.54,13.07,2.32,1
713,18321,-7.76,-8.28,11.35,2.32,2
2135.12,2071.13,-6.29,-6.71,9.19,2.32,0
2267.19,2466.2,-5.67,-3.34,6.59,2.61,4
2152.97,2083.37,-5.33,-3.14,6.19,2.61,0
2161.02,2088.11,-4.66,-2.74,5.41,2.61,0
2298,16136,-3.67,-2.16,4.26,2.61,2
2175.04,2096.36,-2.74,-1.61,3.18,2.61,0
1852,12962,-9.53,-10.18,13.94,2.32,2
2093.63,2031.67,-9.54,-10.19,13.96,2.32,0
0,0,-9.57,-10.21,13.99,2.32,1
1806,13701,-9.24,-9.86,13.51,2.32,2
2128.16,2063.71,-7.55,-8.05,11.04,2.32,0
2497.16,2440.21,-6.49,-5.18,8.3,2.47,4
2147.47,2080.13,-6.22,-3.66,7.22,2.61,0
2156.26,2085.3,-5.29,-3.11,6.14,2.61,0
0,0,-4.46,-2.62,5.17,2.61,1
2171.82,2094.47,-3.67,-2.16,4.25,2.61,0
0,0,-9.52,-10.17,13.93,2.32,1
2084.1,2021.5,-9.56,-10.21,13.99,2.32,0
2433.83,2277.26,-9.48,-10.12,13.87,2.32,4
2511.98,2142.78,-9.54,-10.18,13.95,2.32,4
2119.78,2054.76,-9.05,-9.66,13.24,2.32,0
2151.75,2087.54,-6.92,-7.38,10.12,2.32,3
2141.41,2076.57,-6.28,-3.7,7.29,2.61,0
2150.82,2082.1,-5.45,-3.21,6.33,2.61,0
0,0,-4.82,-2.84,5.59,2.61,1
2167.73,2092.06,-4.16,-2.45,4.82,2.61,0
0,0,-9.54,-10.18,13.95,2.32,1
2074.58,2011.34,-9.51,-10.15,13.91,2.32,0
0,0,-9.56,-10.2,13.98,2.32,1
0,0,-9.51,-10.15,13.91,2.32,1
2110.31,2044.65,-9.53,-10.17,13.94,2.32,0
0,0,-8.25,-8.81,12.07,2.32,1
2134.98,2070.99,-6.56,-7,9.59,2.32,0
2144.63,2078.46,-5.94,-3.5,6.89,2.61,0
2379.05,2513.01,-5.84,-3.44,6.78,2.61,4
2162.89,2089.21,-5.37,-3.16,6.23,2.61,0
0,0,-9.5,-10.14,13.9,2.32,1
2065.06,2001.18,-9.49,-10.13,13.88,2.32,0
2336.8,2019.95,-9.54,-10.18,13.95,2.32,4
2105.95,2043.48,-9.51,-10.15,13.91,2.32,3
2100.77,2034.47,-9.52,-10.17,13.93,2.32,0
0,0,-9.52,-10.16,13.92,2.32,1
2127.72,2063.24,-7.86,-8.39,11.5,2.32,0
2138.3,2074.33,-6.69,-5.32,8.54,2.47,0
2168.16,2100.54,-6.57,-3.87,7.63,2.61,3
2157.57,2086.08,-5.8,-3.41,6.73,2.61,0
1329,14640,-9.64,-10.04,13.92,2.34,2
2055.55,1991.03,-9.52,-10.16,13.92,2.32,0
1479,17784,-9.5,-10.14,13.89,2.32,2
2192.42,2187.31,-9.55,-10.19,13.96,2.32,4
2091.24,2024.29,-9.51,-10.15,13.91,2.32,0
2481.54,2343.56,-9.49,-10.13,13.88,2.32,4
2119.16,2054.1,-9.15,-9.77,13.39,2.32,0
2131.65,2067.43,-7.09,-7.57,10.37,2.32,0
2602.03,2145.93,-6,-3.53,6.96,2.61,4
2151.78,2082.67,-5.62,-3.31,6.52,2.61,0
2057.6,1988.03,-10.01,-9.74,13.97,2.37,3
2046.03,1980.87,-9.51,-10.15,13.9,2.32,0
2346.73,2208.59,-9.55,-10.19,13.97,2.32,4
2499.9,2270.14,-9.54,-10.18,13.96,2.32,4
2081.71,2014.12,-9.55,-10.2,13.97,2.32,0
2182.01,2074.39,-9.51,-10.15,13.9,2.32,4
2109.67,2043.97,-9.51,-10.15,13.91,2.32,0
2123.88,2059.13,-8.36,-8.92,12.22,2.32,0
0,0,-6.13,-6.54,8.96,2.32,1
2145.46,2078.95,-6.46,-3.8,7.5,2.61,0
2284.62,2024.33,-9.96,-9.68,13.89,2.37,4
2036.05,1971.13,-9.99,-9.71,13.93,2.37,0
2211.19,2187.41,-9.52,-10.16,13.92,2.32,4
2432.37,2228.97,-9.49,-10.13,13.89,2.32,4
2072.18,2003.95,-9.51,-10.15,13.9,2.32,0
0,0,-9.52,-10.17,13.93,2.32,1
2100.16,2033.82,-9.48,-10.12,13.87,2.32,0
2114.81,2049.45,-9.51,-10.15,13.91,2.32,0
2547.97,2244.58,-7.3,-7.79,10.68,2.32,4
2139.5,2075.29,-6.57,-4.35,7.88,2.56,0
2037.62,1968.61,-10.01,-9.73,13.96,2.37,3
2026.05,1961.4,-10,-9.72,13.95,2.37,0
2195.24,2077.63,-10.03,-9.75,13.99,2.37,4
2067.84,2002.8,-9.52,-10.16,13.93,2.32,3
2062.67,1993.79,-9.56,-10.21,13.98,2.32,0
1678,14217,-9.54,-10.18,13.95,2.32,2
2090.64,2023.65,-9.53,-10.17,13.93,2.32,0
2105.27,2039.27,-9.53,-10.18,13.94,2.32,0
0,0,-8.74,-9.33,12.79,2.32,1
2133.14,2069.02,-6.74,-7.19,9.86,2.32,0
0,0,-10.03,-9.75,13.99,2.37,1
2016.06,1951.69,-10.01,-9.73,13.96,2.37,0
2049.24,1979.91,-10.02,-9.74,13.97,2.37,3
0,0,-10.01,-9.73,13.96,2.37,1
2053.14,1983.63,-9.48,-10.12,13.87,2.32,0
2087.42,2018.86,-9.52,-10.17,13.93,2.32,3
2081.11,2013.48,-9.57,-10.21,14,2.32,0
2095.75,2029.11,-9.51,-10.15,13.9,2.32,0
2217.56,2374.98,-9.51,-10.15,13.91,2.32,4
2125.73,2061.11,-8,-8.54,11.7,2.32,0
2017.6,1949.15,-9.99,-9.71,13.94,2.37,3
2006.07,1941.99,-9.95,-9.67,13.87,2.37,0
0,0,-10.02,-9.74,13.97,2.37,1
2053.97,2451.27,-9.95,-9.67,13.87,2.37,4
2043.4,1973.67,-9.99,-9.71,13.93,2.37,0
2077.9,2008.7,-9.49,-10.14,13.89,2.32,3
2071.58,2003.31,-9.5,-10.14,13.89,2.32,0
2086.23,2018.95,-9.51,-10.15,13.91,2.32,0
2122.03,2055.81,-9.49,-10.13,13.88,2.32,3
2116.98,2051.78,-9.34,-9.97,13.66,2.32,0
2378.6,2373.43,-10,-9.72,13.95,2.37,4
1996.09,1932.28,-10.03,-9.75,13.99,2.37,0
0,0,-9.99,-9.71,13.94,2.37,1
0,0,-10.02,-9.74,13.98,2.37,1
2033.4,1963.95,-10.02,-9.74,13.97,2.37,0
2068.38,1998.54,-9.49,-10.13,13.88,2.32,3
2062.05,1993.14,-9.5,-10.14,13.9,2.32,0
2076.7,2008.77,-9.51,-10.15,13.91,2.32,0
2297.5,2371.64,-9.51,-10.15,13.91,2.32,4
2107.46,2041.61,-9.55,-10.19,13.96,2.32,0
321,12452,-9.95,-9.67,13.87,2.37,2
1986.09,1922.56,-10.01,-9.73,13.96,2.37,0
2108.26,2072.76,-9.96,-9.69,13.89,2.37,4
2087.97,1983.83,-9.99,-9.71,13.93,2.37,4
2023.41,1954.24,-9.98,-9.7,13.92,2.37,0
0,0,-9.96,-9.68,13.88,2.37,1
2052.52,1982.96,-9.48,-10.12,13.87,2.32,0
2067.17,1998.6,-9.51,-10.16,13.92,2.32,0
0,0,-9.49,-10.13,13.89,2.32,1
2097.93,2031.44,-9.48,-10.12,13.87,2.32,0
2425.63,1994.01,-9.96,-9.68,13.89,2.37,4
1976.11,1912.86,-10.02,-9.74,13.98,2.37,0
2002.26,2110.05,-9.97,-9.69,13.9,2.37,4
2017.96,1954.1,-10.04,-9.76,14,2.37,3
2013.42,1944.53,-10.02,-9.74,13.98,2.37,0
2048.41,1979.1,-9.99,-9.71,13.94,2.37,3
2042.74,1973.03,-10,-9.72,13.95,2.37,0
2057.63,1988.42,-9.51,-10.15,13.9,2.32,0
0,0,-9.55,-10.19,13.96,2.32,1
2088.41,2021.27,-9.56,-10.2,13.98,2.32,0
0,0,-9.97,-9.7,13.91,2.37,1
1966.1,1903.13,-10.04,-9.76,14,2.37,0
0,0,-10.03,-9.75,13.98,2.37,1
0,0,-9.99,-9.71,13.93,2.37,1
2003.43,1934.81,-10.03,-9.75,13.98,2.37,0
2038.41,1969.38,-10.03,-9.75,13.99,2.37,3
2032.75,1963.32,-10,-9.72,13.94,2.37,0
2048.1,1978.24,-9.54,-10.18,13.95,2.32,0
0,0,-9.49,-10.13,13.89,2.32,1
2078.88,2011.1,-9.51,-10.15,13.91,2.32,0
2348.65,2359.59,-9.98,-9.7,13.92,2.37,4
1956.09,1893.4,-9.97,-9.7,13.91,2.37,0
1137,16989,-10,-9.72,13.94,2.37,2
1997.98,1934.68,-9.99,-9.71,13.93,2.37,3
1993.46,1925.12,-9.96,-9.68,13.89,2.37,0
2028.43,1959.68,-10.02,-9.74,13.98,2.37,3
2022.77,1953.62,-9.97,-9.7,13.91,2.37,0
2038.1,1968.52,-9.97,-9.69,13.9,2.37,0
2074.35,2004.92,-9.49,-10.13,13.88,2.32,3
2069.35,2000.93,-9.49,-10.13,13.88,2.32,0
0,0,-9.99,-9.72,13.93,2.37,1
1946.1,1883.69,-10.01,-9.73,13.96,2.37,0
1582,14598,-9.96,-9.68,13.88,2.37,2
2173.99,2257.97,-9.95,-9.67,13.88,2.37,4
1983.46,1915.4,-10.01,-9.73,13.96,2.37,0
2219.42,2230.95,-10.03,-9.75,13.99,2.37,4
2012.77,1943.9,-9.95,-9.67,13.87,2.37,0
2028.1,1958.8,-9.95,-9.67,13.87,2.37,0
705,13889,-9.96,-9.68,13.89,2.37,2
2059.83,1990.76,-9.51,-10.15,13.9,2.32,0
0,0,-9.74,-9.98,13.95,2.34,1
1936.11,1873.98,-9.98,-9.7,13.92,2.37,0
1164,19707,-10.03,-9.75,13.98,2.37,2
0,0,-9.97,-9.69,13.9,2.37,1
1973.45,1905.67,-10.04,-9.76,14,2.37,0
2008.43,1940.24,-9.98,-9.7,13.92,2.37,3
2002.79,1934.19,-9.97,-9.69,13.91,2.37,0
2018.13,1949.1,-9.95,-9.67,13.87,2.37,0
1107,19427,-9.99,-9.71,13.93,2.37,2
2050.3,1980.59,-9.52,-10.16,13.92,2.32,0
0,0,-9.74,-9.98,13.94,2.34,1
1926.35,1864.02,-9.75,-9.99,13.96,2.34,0
1959.28,1892.45,-9.95,-9.67,13.88,2.37,3
1966,11527,-10.02,-9.74,13.98,2.37,2
1963.45,1895.95,-10.04,-9.76,14,2.37,0
1998.45,1930.53,-9.95,-9.67,13.88,2.37,3
1992.79,1924.48,-9.99,-9.71,13.93,2.37,0
2008.14,1939.4,-9.97,-9.69,13.9,2.37,0
0,0,-10.03,-9.75,13.99,2.37,1
2040.41,1970.76,-10.02,-9.74,13.97,2.37,0
0,0,-9.7,-9.94,13.88,2.34,1
1916.62,1854.04,-9.76,-10,13.97,2.34,0
0,0,-9.78,-10.02,14,2.34,1
524,15436,-9.99,-9.71,13.93,2.37,2
1953.47,1886.25,-9.99,-9.71,13.93,2.37,0
2374.45,2110.81,-10.04,-9.76,14,2.37,4
1982.81,1914.77,-9.97,-9.69,13.9,2.37,0
1998.17,1929.7,-9.95,-9.67,13.88,2.37,0
248,11565,-10.01,-9.73,13.96,2.37,2
2030.42,1961.05,-10,-9.72,13.94,2.37,0
887,14690,-9.77,-10.01,13.99,2.34,2
1906.89,1844.07,-9.71,-9.95,13.9,2.34,0
1939.76,1872.54,-9.71,-9.95,13.9,2.34,3
1948.25,1885.96,-9.78,-10.02,14,2.34,3
1943.48,1876.54,-9.98,-9.7,13.92,2.37,0
994,19766,-10.02,-9.74,13.98,2.37,2
1972.82,1905.06,-9.98,-9.71,13.93,2.37,0
1988.17,1919.98,-10.04,-9.76,14,2.37,0
2024.71,1956.06,-10.01,-9.73,13.95,2.37,3
2020.43,1951.34,-9.98,-9.7,13.92,2.37,0
1909.01,1841.02,-9.73,-9.97,13.93,2.34,3
1897.17,1834.11,-9.76,-10.01,13.98,2.34,0
2050.04,2035.57,-9.76,-10,13.98,2.34,4
0,0,-9.7,-9.94,13.88,2.34,1
1933.59,1866.71,-9.74,-9.98,13.94,2.34,0
1968.47,1901.39,-10,-9.72,13.95,2.37,3
1962.84,1895.36,-9.98,-9.7,13.91,2.37,0
1978.18,1910.27,-10.01,-9.73,13.96,2.37,0
800,14416,-9.99,-9.71,13.93,2.37,2
2010.42,1941.61,-10.03,-9.75,13.99,2.37,0
0,0,-9.69,-9.93,13.88,2.34,1
1887.44,1824.14,-9.76,-10,13.98,2.34,0
1966.31,2036.6,-9.69,-9.93,13.88,2.34,4
0,0,-9.72,-9.96,13.92,2.34,1
1923.88,1856.75,-9.7,-9.94,13.89,2.34,0
1958.48,1891.68,-9.96,-9.68,13.89,2.37,3
1952.86,1885.65,-10.03,-9.75,13.99,2.37,0
1968.18,1900.55,-9.96,-9.68,13.89,2.37,0
0,0,-10.01,-9.73,13.96,2.37,1
2000.42,1931.89,-10.03,-9.75,13.98,2.37,0
1777,19318,-9.75,-9.99,13.96,2.34,2
1877.71,1814.17,-9.71,-9.95,13.9,2.34,0
0,0,-9.73,-9.97,13.93,2.34,1
1919.05,1856.04,-9.7,-9.94,13.89,2.34,3
1914.14,1846.78,-9.76,-10,13.98,2.34,0
0,0,-9.77,-10.01,13.99,2.34,1
1942.87,1875.94,-10.01,-9.74,13.97,2.37,0
1958.19,1890.84,-10.01,-9.73,13.96,2.37,0
1994.71,1926.89,-9.99,-9.71,13.93,2.37,3
1990.42,1922.17,-9.97,-9.69,13.91,2.37,0
579,11255,-9.77,-10.02,13.99,2.34,2
1867.97,1804.2,-9.78,-10.02,14,2.34,0
1886,10303,-9.7,-9.94,13.88,2.34,2
1909.31,1846.06,-9.72,-9.96,13.92,2.34,3
1904.41,1836.8,-9.74,-9.98,13.95,2.34,0
2371,2160.76,-9.75,-9.99,13.95,2.34,4
1933,1866.11,-9.69,-9.93,13.87,2.34,0
1948.21,1881.14,-9.97,-9.69,13.91,2.37,0
2036.71,2191.18,-9.99,-9.71,13.93,2.37,4
1980.43,1912.46,-9.99,-9.71,13.93,2.37,0
0,0,-9.76,-10,13.98,2.34,1
1858.25,1794.23,-9.77,-10.01,13.98,2.34,0
1937.12,2198.7,-9.7,-9.94,13.9,2.34,4
0,0,-9.69,-9.93,13.88,2.34,1
1894.65,1826.81,-9.77,-10.01,13.98,2.34,0
1929.28,1861.79,-9.72,-9.96,13.92,2.34,3
1923.26,1856.12,-9.76,-10,13.98,2.34,0
1938.23,1871.43,-10,-9.72,13.94,2.37,0
2238.73,2146.48,-9.99,-9.71,13.93,2.37,4
1970.45,1902.75,-9.98,-9.7,13.92,2.37,0
0,0,-9.74,-9.98,13.95,2.34,1
1848.52,1784.26,-9.71,-9.95,13.9,2.34,0
0,0,-9.69,-9.93,13.87,2.34,1
0,0,-9.74,-9.98,13.95,2.34,1
1884.91,1816.82,-9.76,-10.01,13.98,2.34,0
2193,15381,-9.71,-9.95,13.91,2.34,2
1913.53,1846.15,-9.77,-10.01,13.99,2.34,0
1928.48,1861.47,-9.78,-10.02,14,2.34,0
0,0,-9.99,-9.71,13.93,2.37,1
1960.43,1893.02,-9.97,-9.69,13.9,2.37,0
1850.35,1781.39,-10.12,-9.61,13.95,2.38,3
1838.79,1774.29,-9.72,-9.96,13.91,2.34,0
2149,11783,-9.71,-9.95,13.91,2.34,2
2255.11,2286.14,-9.69,-9.93,13.87,2.34,4
1875.18,1806.85,-9.7,-9.94,13.89,2.34,0
2019.81,2179.85,-9.7,-9.94,13.89,2.34,4
1903.79,1836.17,-9.72,-9.96,13.92,2.34,0
1918.75,1851.5,-9.76,-10,13.97,2.34,0
0,0,-9.73,-9.97,13.93,2.34,1
1950.45,1883.31,-10.01,-9.73,13.96,2.37,0
1840.25,1771.79,-10.08,-9.58,13.91,2.38,3
1828.87,1764.53,-10.08,-9.57,13.9,2.38,0
1908,11579,-9.69,-9.93,13.87,2.34,2
1870.38,1806.17,-9.77,-10.01,13.98,2.34,3
1865.44,1796.87,-9.73,-9.97,13.93,2.34,0
1900.08,1831.87,-9.76,-10,13.97,2.34,3
1894.05,1826.19,-9.77,-10.01,13.98,2.34,0
1909.02,1841.53,-9.72,-9.96,13.92,2.34,0
2059.1,2313,-9.74,-9.98,13.94,2.34,4
1940.46,1873.6,-9.95,-9.67,13.88,2.37,0
2195,18842,-10.07,-9.57,13.89,2.38,2
1818.77,1754.94,-10.06,-9.55,13.87,2.38,0
1852.03,1782.98,-10.08,-9.57,13.9,2.38,3
0,0,-9.72,-9.96,13.91,2.34,1
1855.71,1786.9,-9.71,-9.95,13.9,2.34,0
1890.34,1821.9,-9.78,-10.02,14,2.34,3
1884.33,1816.23,-9.76,-10.01,13.98,2.34,0
1899.29,1831.56,-9.74,-9.98,13.95,2.34,0
2367.36,2311.03,-9.77,-10.02,14,2.34,4
1930.66,1863.71,-9.72,-9.96,13.91,2.34,0
2259.16,1996.44,-9.95,-9.75,13.93,2.37,4
1808.66,1745.34,-10.14,-9.63,13.99,2.38,0
1841.92,1773.38,-10.13,-9.62,13.97,2.38,3
1392,18689,-10.07,-9.57,13.89,2.38,2
1845.98,1776.94,-9.71,-9.95,13.91,2.34,0
1880.62,1811.93,-9.71,-9.95,13.9,2.34,3
1874.59,1806.25,-9.75,-9.99,13.96,2.34,0
1889.55,1821.58,-9.71,-9.96,13.91,2.34,0
0,0,-9.73,-9.97,13.93,2.34,1
1920.92,1853.72,-9.69,-9.93,13.87,2.34,0
2210.2,1876.68,-9.91,-9.71,13.87,2.37,4
1798.69,1735.62,-9.97,-9.77,13.96,2.37,0
2447,15969,-10.08,-9.57,13.9,2.38,2
0,0,-10.1,-9.59,13.93,2.38,1
1836.23,1766.97,-9.78,-9.86,13.89,2.35,0
2326.89,2266.96,-9.7,-9.94,13.88,2.34,4
1864.86,1796.28,-9.75,-9.99,13.96,2.34,0
1879.81,1811.6,-9.71,-9.95,13.9,2.34,0
2063.9,1888.09,-9.7,-9.94,13.89,2.34,4
1911.2,1843.77,-9.69,-9.93,13.87,2.34,0
0,0,-9.92,-9.73,13.89,2.37,1
1788.73,1725.86,-9.96,-9.76,13.94,2.37,0
2171.81,2007.06,-9.98,-9.78,13.97,2.37,4
2161,10644,-10.12,-9.61,13.95,2.38,2
1826.12,1757.37,-10.12,-9.62,13.96,2.38,0
0,0,-9.72,-9.96,13.92,2.34,1
1855.12,1786.3,-9.74,-9.99,13.95,2.34,0
1870.07,1801.62,-9.73,-9.97,13.94,2.34,0
2435,15440,-9.73,-9.97,13.93,2.34,2
1901.48,1833.8,-9.7,-9.94,13.89,2.34,0
0,0,-9.92,-9.73,13.89,2.37,1
1778.77,1716.1,-9.98,-9.79,13.98,2.37,0
2084.84,1982.29,-9.94,-9.74,13.91,2.37,4
0,0,-9.93,-9.73,13.9,2.37,1
1816.02,1747.78,-10.07,-9.56,13.89,2.38,0
2203.22,2149.21,-10.11,-9.6,13.94,2.38,4
1845.39,1776.32,-9.78,-10.02,14,2.34,0
1860.35,1791.65,-9.73,-9.97,13.93,2.34,0
1896.43,1828.14,-9.69,-9.93,13.88,2.34,3
1891.75,1823.83,-9.74,-9.98,13.94,2.34,0
1780.36,1713.44,-9.94,-9.74,13.92,2.37,3
1768.82,1706.35,-9.98,-9.78,13.98,2.37,0
1801.9,1734.54,-9.91,-9.71,13.88,2.37,3
0,0,-9.99,-9.79,13.98,2.37,1
1805.98,1738.14,-9.92,-9.73,13.9,2.37,0
1196,15762,-10.14,-9.63,13.98,2.38,2
1835.61,1766.38,-9.92,-9.74,13.9,2.37,0
1850.61,1781.68,-9.72,-9.96,13.92,2.34,0
791,14931,-9.74,-9.98,13.95,2.34,2
1882.01,1813.86,-9.75,-9.99,13.96,2.34,0
2090.41,1844.69,-9.91,-9.71,13.88,2.37,4
1758.86,1696.59,-9.97,-9.77,13.95,2.37,0
0,0,-9.95,-9.75,13.92,2.37,1
0,0,-9.96,-9.77,13.95,2.37,1
1796.03,1728.4,-9.93,-9.73,13.9,2.37,0
0,0,-10.07,-9.56,13.89,2.38,1
1825.5,1756.78,-10.08,-9.57,13.9,2.38,0
1840.88,1771.7,-9.77,-10.01,13.99,2.34,0
1116,12802,-9.76,-10.01,13.98,2.34,2
1872.28,1803.88,-9.76,-10.01,13.98,2.34,0
1774.47,2147.94,-9.93,-9.74,13.91,2.37,4
1748.92,1686.85,-9.92,-9.73,13.89,2.37,0
2243.98,1932.03,-9.96,-9.76,13.94,2.37,4
1818.74,2036.23,-9.91,-9.71,13.88,2.37,4
1786.08,1718.64,-9.95,-9.75,13.94,2.37,0
1914.03,2163.29,-9.95,-9.75,13.93,2.37,4
1815.39,1747.18,-10.1,-9.59,13.93,2.38,0
1830.93,1761.94,-10.12,-9.61,13.95,2.38,0
2222.23,1873.21,-9.76,-10,13.98,2.34,4
1862.54,1793.9,-9.73,-9.97,13.93,2.34,0
1750.51,1684.18,-9.97,-9.77,13.96,2.37,3
1738.99,1677.12,-9.92,-9.72,13.89,2.37,0
2185,14434,-9.92,-9.73,13.9,2.37,2
2207.79,1856.48,-9.96,-9.76,13.94,2.37,4
1776.12,1708.88,-9.92,-9.72,13.89,2.37,0
1811.06,1743.52,-9.91,-9.71,13.88,2.37,3
1805.35,1737.53,-9.93,-9.73,13.9,2.37,0
1820.84,1752.36,-10.1,-9.6,13.94,2.38,0
1176,12056,-9.72,-9.96,13.91,2.34,2
1852.81,1783.93,-9.69,-9.93,13.87,2.34,0
0,0,-9.99,-9.79,13.98,2.37,1
1729.04,1667.37,-9.93,-9.73,13.91,2.37,0
1762.08,1695.52,-9.92,-9.72,13.89,2.37,3
0,0,-9.92,-9.72,13.88,2.37,1
1766.17,1699.13,-9.92,-9.72,13.89,2.37,0
1736,19379,-9.98,-9.78,13.97,2.37,2
1795.4,1727.77,-9.97,-9.77,13.96,2.37,0
1810.74,1742.76,-10.11,-9.6,13.94,2.38,0
2136.43,2035.61,-10.15,-9.64,13.99,2.38,4
1843.07,1773.95,-9.74,-9.99,13.95,2.34,0
1730.59,1664.66,-9.97,-9.77,13.96,2.37,3
1719.09,1657.62,-9.93,-9.74,13.91,2.37,0
1756.12,1771.76,-9.93,-9.73,13.91,2.37,4
1069,13828,-9.99,-9.79,13.99,2.37,2
1756.21,1689.37,-9.91,-9.72,13.88,2.37,0
1016,19006,-9.94,-9.74,13.91,2.37,2
1785.45,1718.02,-9.95,-9.75,13.94,2.37,0
1800.76,1733.02,-9.92,-9.72,13.89,2.37,0
